age,monthly_income,years_at_company,job_satisfaction,overtime_hours,promotion_years,target
39,175.49,4.85,7,1.0,0.0,1
56,65.99,9.45,1,2.87,0.0,0
56,63.95,13.5,3,2.78,10.11,0
58,155.06,0.32,3,9.11,6.56,1
45,272.13,2.53,1,15.06,10.3,1
53,32.21,7.57,4,7.75,4.21,0
24,180.69,7.76,3,9.08,8.29,0
59,143.42,8.09,1,17.41,3.89,0
35,152.88,9.75,3,1.0,8.21,1
47,168.85,6.05,1,7.41,0.0,0
50,318.73,0.77,5,16.77,4.97,1
47,295.14,10.86,1,23.68,9.71,0
45,313.99,6.22,5,14.69,3.38,1
51,161.26,5.49,2,1.0,9.85,1
39,74.15,0.97,3,1.0,0.0,1
53,69.77,7.51,1,11.31,0.0,0
29,242.25,7.07,2,16.21,2.18,0
54,245.67,6.08,4,12.17,1.65,0
43,485.48,1.25,3,4.7,7.16,1
31,114.16,10.41,0,4.57,6.91,0
27,202.16,2.89,3,2.92,10.6,1
27,48.12,6.91,3,16.88,7.08,0
60,309.52,9.99,4,1.0,2.22,0
31,235.14,3.06,5,15.93,4.47,1
50,93.96,3.91,5,4.3,4.65,0
62,217.23,7.55,6,1.9,2.31,0
39,311.43,9.36,2,7.87,0.0,0
64,459.78,9.62,1,16.46,5.85,0
62,145.21,0.17,5,16.58,6.98,0
23,97.73,8.01,3,2.23,6.07,1
60,149.23,6.83,0,4.53,6.8,0
44,136.69,0.0,2,11.25,11.63,1
29,1118.03,0.69,4,16.96,3.96,1
26,172.1,4.62,6,14.37,9.98,1
53,115.71,6.74,1,10.37,10.39,0
44,225.15,12.33,4,6.11,5.1,0
31,86.7,7.94,6,3.13,11.52,1
24,350.51,8.8,4,15.87,3.2,1
56,111.55,4.85,3,14.41,7.47,1
30,173.92,6.91,3,7.62,2.84,0
60,83.65,9.9,3,1.47,9.73,0
34,80.08,4.05,4,16.62,1.72,0
19,359.88,2.6,3,11.08,7.46,1
33,224.21,5.01,2,7.03,4.65,0
51,269.49,3.18,5,17.97,6.44,1
43,52.15,0.0,5,17.29,5.69,1
20,52.98,0.0,3,10.31,4.22,1
43,373.26,9.7,2,20.52,4.52,1
45,238.15,0.38,3,15.51,1.56,0
64,344.21,2.5,1,22.0,2.59,0
64,95.02,3.14,7,15.48,8.18,1
62,48.38,1.86,5,28.04,0.0,0
37,218.47,0.0,1,12.01,8.56,0
19,131.64,7.25,5,10.07,10.61,1
47,143.99,5.96,2,12.27,6.5,1
33,94.51,6.92,3,8.01,0.0,1
21,98.92,8.8,7,9.4,5.74,1
44,546.6,8.13,2,7.08,8.27,0
27,116.93,2.19,1,3.31,4.58,0
44,61.97,8.11,2,12.96,4.06,0
39,186.16,3.29,4,7.76,10.94,1
23,230.98,12.3,2,15.38,6.22,0
58,191.84,1.99,1,4.55,3.17,1
65,534.62,4.91,1,9.65,0.0,1
47,542.96,0.0,4,25.65,1.79,0
37,333.06,5.25,5,4.65,3.19,1
21,295.62,9.4,2,14.85,0.0,0
19,199.66,12.54,4,21.51,7.4,0
64,26.56,0.0,4,18.28,6.47,1
42,60.92,6.08,1,1.0,0.59,0
47,189.92,6.43,5,15.22,1.86,1
29,98.44,4.87,4,17.61,2.26,1
30,137.82,7.62,6,16.55,1.2,1
22,84.59,3.01,4,5.72,1.17,0
40,36.53,0.0,1,10.56,3.08,0
62,105.51,2.55,4,15.33,10.28,0
53,56.45,9.98,2,1.14,5.02,1
53,131.93,3.33,3,11.49,2.0,0
30,111.49,9.42,6,8.53,4.91,1
18,286.83,7.62,2,1.0,2.01,0
58,77.66,0.0,5,16.02,0.0,0
33,101.27,1.38,1,1.0,1.34,0
31,83.56,6.43,2,1.0,12.69,1
56,238.59,6.73,3,12.7,5.69,0
55,278.24,10.5,2,14.64,6.65,1
29,169.38,6.5,4,1.0,7.27,1
18,59.64,11.2,1,23.05,8.4,0
36,288.19,3.05,2,1.0,5.79,1
42,30.67,5.45,3,7.89,5.06,0
43,62.68,7.73,1,1.0,7.23,1
48,47.6,5.95,3,9.17,5.58,1
57,71.0,7.36,2,16.34,12.71,0
47,75.28,0.93,3,14.99,2.6,0
31,194.53,5.61,3,7.81,3.73,1
64,269.89,5.25,5,5.72,4.89,0
20,175.45,6.72,5,15.49,4.49,1
30,88.74,1.93,0,10.57,9.48,1
35,166.51,10.29,2,14.99,15.17,1
63,294.61,7.05,0,5.9,4.64,1
50,191.18,1.6,3,15.03,8.23,0
64,54.03,8.5,4,17.18,2.61,0
35,90.13,5.25,2,14.52,1.57,0
48,99.36,8.05,2,5.88,3.4,0
55,221.47,8.64,6,24.58,12.33,1
33,113.35,1.67,6,14.68,9.06,1
49,76.69,3.96,3,1.0,10.06,1
29,48.71,2.02,3,24.55,8.91,0
49,350.94,10.1,1,8.2,4.59,0
50,287.65,6.1,1,12.96,2.67,0
18,141.72,7.25,1,18.82,1.64,0
20,365.71,7.48,4,8.39,8.66,1
29,19.62,3.32,1,2.5,2.21,0
45,272.43,4.54,5,3.32,7.13,1
20,170.04,5.61,2,3.06,6.92,0
62,64.39,3.76,5,25.99,12.26,0
22,167.94,3.02,2,1.0,8.11,1
34,129.0,2.96,4,18.33,2.39,0
26,112.11,0.68,3,17.48,4.97,0
33,220.14,1.96,4,7.96,5.65,1
39,587.55,4.7,1,1.0,1.11,1
42,148.3,0.0,2,1.23,0.0,1
24,354.76,6.78,4,1.0,5.72,1
28,76.54,7.8,3,10.73,1.65,1
25,133.51,1.17,2,1.0,2.72,1
59,99.96,4.45,2,9.5,2.06,0
42,372.68,6.86,4,1.0,2.58,1
56,267.29,0.12,1,7.39,6.03,1
32,220.22,15.23,2,9.16,5.63,0
19,72.9,6.99,4,10.72,1.19,0
55,32.34,7.22,3,5.63,9.1,0
56,118.34,11.29,2,1.0,5.04,0
39,320.91,9.36,5,12.3,2.83,0
40,123.95,7.61,4,11.45,4.49,1
51,347.84,8.22,4,8.89,8.35,0
48,108.97,8.57,8,4.23,0.66,0
62,129.03,2.89,2,1.17,0.29,0
57,92.0,5.5,2,15.93,0.0,0
27,139.4,2.83,3,20.17,9.29,0
63,69.06,3.81,3,12.59,6.73,0
56,280.2,6.43,2,7.1,1.63,0
65,92.2,0.0,1,1.0,3.45,0
49,91.69,5.65,5,15.4,8.11,1
34,72.92,6.87,4,17.34,2.23,1
40,92.62,5.83,2,9.88,3.54,0
44,369.5,0.0,7,2.05,5.69,1
25,634.36,5.44,1,1.0,1.41,1
49,271.9,9.74,4,20.34,9.4,0
18,193.88,9.88,2,1.0,3.38,0
59,120.32,5.45,2,5.45,6.56,0
30,111.07,0.0,1,26.28,2.79,0
30,1296.94,4.97,1,1.0,2.6,1
36,172.16,0.0,4,3.37,10.15,1
18,401.16,5.7,4,2.23,7.38,1
19,194.56,2.27,3,11.64,7.26,1
26,44.53,5.69,1,10.67,6.65,1
19,90.31,1.12,2,12.44,1.6,1
23,208.67,6.47,2,11.94,6.74,1
34,103.35,5.16,4,6.31,5.01,0
28,104.6,1.16,1,1.0,4.69,0
42,67.89,9.77,2,6.33,4.62,0
65,244.47,1.55,3,21.25,5.18,0
19,179.73,8.53,3,9.42,1.55,0
57,81.03,0.31,4,14.16,6.79,1
27,103.41,0.0,1,20.55,3.79,1
44,140.41,3.57,5,15.03,3.37,1
57,125.8,8.32,5,3.41,6.82,0
32,65.57,2.41,1,1.0,5.48,1
44,72.13,6.84,4,8.07,4.54,1
59,143.49,1.78,1,17.19,8.1,0
57,116.38,7.29,1,12.88,5.3,0
55,113.18,9.92,0,5.51,4.59,0
35,52.65,7.18,3,1.0,5.25,0
45,281.71,0.47,1,18.71,5.61,1
53,180.13,3.97,2,12.27,7.8,0
51,193.0,4.82,3,2.31,11.3,1
61,317.92,0.67,7,9.97,8.62,1
53,98.18,0.0,3,19.89,8.93,0
61,317.61,4.28,4,14.94,3.05,1
35,103.54,3.94,4,1.0,0.0,1
37,75.97,3.92,6,1.0,4.2,1
34,167.01,9.78,1,1.0,5.4,0
37,232.14,8.99,1,5.99,6.79,0
43,115.87,10.48,3,16.96,5.66,0
49,137.07,8.33,4,12.94,2.84,0
57,107.15,0.04,4,30.49,11.6,0
30,355.88,0.0,1,8.8,2.78,1
49,539.08,4.66,3,13.23,0.0,1
36,223.94,9.56,3,22.78,0.98,0
22,202.02,7.83,4,4.37,7.25,1
54,31.89,4.24,1,23.38,10.93,0
31,264.9,7.03,6,2.15,1.69,0
27,30.07,1.79,4,18.14,9.74,1
43,67.86,7.14,2,17.15,3.96,1
21,75.57,10.05,2,1.0,7.55,1
44,205.35,7.58,1,4.44,8.4,1
31,125.56,7.71,5,4.15,11.07,1
40,80.06,2.67,5,5.22,4.03,1
49,383.64,6.28,0,26.65,2.71,0
22,80.39,4.05,2,9.48,0.16,0
29,116.27,4.76,0,13.91,0.0,1
23,48.25,4.21,3,1.0,10.39,1
42,72.29,5.55,4,1.0,5.17,1
42,302.61,5.15,3,14.72,1.24,0
42,42.94,2.1,2,28.49,0.0,0
47,201.14,2.51,1,12.87,0.0,0
57,165.45,6.23,4,12.74,3.41,0
50,220.72,8.34,4,9.56,6.22,1
39,63.79,8.47,3,14.3,0.6,0
60,89.22,11.69,4,6.41,5.82,1
34,133.8,0.0,1,11.34,1.24,0
61,167.21,7.89,4,1.0,0.0,0
28,189.0,4.7,8,12.76,4.28,1
26,58.1,2.86,3,2.02,8.22,1
43,416.45,10.83,4,9.38,0.06,1
55,140.82,2.8,2,8.54,5.43,1
49,121.8,4.4,1,6.29,0.08,0
20,672.71,7.79,5,15.99,0.34,1
60,116.39,5.45,1,14.35,4.08,1
24,93.96,2.02,4,1.83,3.35,1
37,291.25,2.83,3,17.99,0.0,1
49,73.92,11.02,4,1.0,6.92,0
46,160.43,0.0,3,13.89,6.2,0
60,178.86,12.45,1,14.09,1.65,0
33,61.36,3.09,2,15.25,3.84,0
47,309.79,11.9,3,1.82,12.41,1
41,91.45,7.28,3,19.44,5.04,1
48,104.31,11.18,4,14.51,0.0,0
59,143.13,13.96,3,16.76,1.18,0
35,95.65,1.19,2,7.34,3.19,0
57,2161.23,1.39,0,1.0,10.06,1
55,85.77,3.95,3,1.0,13.22,0
56,109.4,2.45,1,16.56,10.0,0
48,202.51,6.3,3,8.93,10.67,0
31,203.44,2.24,3,17.99,12.08,1
63,66.72,13.68,1,26.01,5.43,0
31,111.92,6.07,2,13.97,8.49,1
40,165.07,7.98,4,9.33,0.0,1
58,138.65,15.09,1,25.05,0.35,0
55,74.72,7.59,1,8.96,3.17,0
26,151.69,3.19,6,1.0,7.89,1
32,162.9,0.0,4,19.03,0.0,0
60,250.21,6.46,5,20.9,2.64,0
27,218.54,0.0,4,8.18,4.81,1
24,228.76,2.88,5,18.64,0.0,1
51,322.88,4.81,2,1.0,8.22,1
40,159.39,3.38,2,15.02,7.46,0
46,66.52,8.42,1,12.96,2.55,0
22,95.8,5.14,3,17.21,1.29,0
19,103.86,4.19,6,11.9,5.07,1
24,154.33,0.0,2,23.78,4.45,1
24,99.15,5.35,2,1.89,3.5,0
48,235.93,0.23,6,1.0,5.12,1
62,173.46,8.41,4,23.73,2.18,0
61,155.15,7.31,5,10.3,0.86,1
31,104.21,4.5,3,5.49,0.0,1
24,116.02,9.81,2,1.0,6.11,0
41,17.98,8.11,3,1.0,1.38,0
18,195.35,7.87,0,8.92,2.8,0
18,83.96,3.11,2,9.29,6.91,1
27,181.81,10.77,4,10.84,6.11,0
26,269.86,5.71,2,9.5,6.84,1
34,172.59,3.57,4,8.48,4.65,1
44,126.54,0.19,3,19.52,5.02,0
41,237.7,0.0,7,1.0,4.6,1
30,200.46,1.48,2,7.76,9.18,1
60,151.39,3.23,5,4.27,10.82,1
53,298.27,6.11,6,15.37,7.54,1
41,125.95,5.82,5,27.0,2.39,0
49,1262.87,1.42,4,9.97,7.1,1
32,55.15,6.86,2,1.0,8.35,0
41,321.35,8.12,5,13.34,0.0,0
54,79.52,0.31,5,13.22,6.92,1
50,181.35,5.79,3,19.12,0.0,0
54,487.44,2.27,1,10.61,11.61,1
34,116.42,3.38,6,12.3,1.88,1
40,80.49,0.15,1,2.37,3.63,0
37,98.22,0.0,5,1.0,8.67,1
49,191.23,0.0,3,1.27,1.5,0
58,58.22,8.63,4,5.61,5.45,0
49,98.9,0.0,3,10.5,4.46,1
34,76.12,5.63,2,1.0,5.72,1
37,126.43,8.55,4,13.6,11.16,1
43,73.52,9.92,1,14.2,0.24,0
18,290.19,5.06,5,7.42,7.4,1
44,202.07,2.55,3,26.79,8.58,1
48,295.46,20.69,5,1.0,3.74,0
57,158.72,5.36,4,20.0,9.07,1
53,64.09,0.0,3,2.84,9.34,0
50,192.72,11.96,3,6.56,8.45,0
28,213.92,5.63,2,12.66,8.02,1
29,158.1,0.0,3,1.0,4.79,1
28,258.55,0.0,4,10.9,10.4,1
44,210.21,3.21,4,7.61,7.7,1
38,112.28,14.55,4,7.7,10.04,0
27,215.75,7.22,1,2.12,8.52,0
63,341.12,0.24,2,3.28,3.98,0
22,334.93,0.0,3,12.19,3.43,1
48,192.59,7.83,2,24.84,5.67,1
31,214.66,0.0,5,13.79,1.96,1
18,37.99,5.65,3,7.16,3.58,1
30,55.05,3.46,6,24.81,0.69,1
24,104.92,5.29,1,17.32,7.01,0
42,262.81,9.46,1,5.28,7.9,1
38,232.44,6.34,2,1.0,6.85,0
21,199.29,2.87,5,15.34,0.34,1
33,500.46,3.28,6,6.23,3.22,1
41,166.94,0.0,1,9.34,0.81,0
30,347.06,9.97,2,14.18,0.0,1
25,140.29,7.0,1,7.86,14.08,1
20,165.65,11.18,5,7.73,8.76,1
58,298.55,0.0,2,8.45,2.58,1
55,188.35,5.83,4,12.82,2.51,0
43,446.06,0.57,3,10.46,4.32,1
36,219.33,0.0,2,6.75,5.32,1
29,814.86,4.79,4,10.4,10.95,1
18,68.09,4.18,1,26.17,8.96,0
28,284.87,6.39,4,1.63,1.47,1
49,95.6,6.22,5,4.43,5.2,1
32,127.29,10.52,3,8.62,6.82,0
45,374.27,6.57,0,14.18,4.86,0
57,174.25,11.13,3,13.49,6.48,0
18,141.68,7.17,0,1.0,4.72,0
41,38.07,4.16,2,22.54,2.1,0
46,494.12,8.15,1,16.68,10.57,1
55,319.94,0.0,4,7.59,4.94,0
64,358.4,0.0,2,31.09,0.0,0
38,94.37,0.0,6,11.32,3.8,1
34,136.28,0.0,4,9.3,0.0,0
27,111.24,4.03,3,3.22,7.37,1
56,99.35,7.89,4,1.0,8.56,1
37,208.56,3.52,2,10.1,1.2,0
40,230.16,5.16,2,12.17,4.61,0
47,94.78,5.04,2,13.39,3.72,1
26,102.27,10.06,6,15.09,10.43,1
21,52.75,3.1,4,4.23,5.52,1
23,222.24,6.56,1,1.0,8.11,1
52,212.47,2.73,2,14.35,6.94,0
42,142.03,3.1,6,4.68,7.51,0
18,155.71,2.42,1,25.46,2.4,1
20,77.69,10.57,5,5.78,6.11,1
65,148.13,0.0,0,14.59,9.22,0
50,201.71,5.59,3,1.0,0.03,1
60,83.52,11.87,0,16.72,0.6,0
48,32.46,4.21,4,18.46,5.17,1
57,251.14,14.45,1,19.98,10.98,0
61,414.06,4.15,7,9.26,0.91,0
46,72.46,2.34,0,1.0,4.6,0
56,136.71,0.0,2,10.05,0.0,0
24,146.78,3.42,3,1.52,8.82,1
37,56.79,8.21,2,1.0,10.44,1
20,169.41,15.42,5,5.65,6.76,1
51,198.14,3.33,4,5.62,3.21,1
49,176.25,1.43,2,4.76,8.48,1
37,21.65,6.07,1,10.34,6.04,1
26,545.56,5.96,1,9.05,1.07,1
41,87.8,4.35,3,8.58,0.0,0
43,105.91,7.36,1,1.0,0.43,0
37,226.02,6.74,0,21.85,0.0,0
51,126.85,0.0,3,6.47,6.6,1
44,37.02,10.72,3,10.06,8.78,1
56,280.37,6.28,4,4.85,0.0,0
30,36.85,4.92,2,19.23,8.44,1
29,90.84,2.98,1,5.94,3.67,1
39,300.59,1.9,3,17.4,1.8,1
52,225.56,1.99,3,9.34,2.43,0
53,238.99,8.98,0,8.82,8.19,0
59,101.94,0.0,2,9.11,4.45,0
65,120.58,8.86,3,13.17,6.35,0
65,364.98,4.68,3,15.05,2.39,0
48,211.94,0.01,7,8.2,1.72,1
34,131.69,7.34,2,8.51,0.49,0
21,199.37,0.78,4,7.33,2.93,1
49,146.7,9.42,6,21.0,0.0,0
34,251.2,11.6,5,24.92,7.52,0
18,105.45,9.88,1,7.58,6.12,0
21,180.99,3.83,1,6.62,3.75,0
51,478.95,0.75,2,3.04,1.49,1
63,112.8,1.98,1,8.22,0.0,1
62,318.47,0.0,1,2.67,2.47,1
44,340.43,5.07,3,3.5,0.0,0
24,33.12,0.67,2,20.81,6.58,0
51,42.66,2.95,5,5.0,6.04,1
28,47.92,6.61,2,18.97,5.54,1
37,85.99,0.21,2,6.06,0.0,0
34,93.84,0.0,2,8.89,7.1,1
54,442.16,8.98,5,16.23,2.67,0
40,225.77,1.15,2,8.37,7.82,1
28,119.31,7.31,3,12.56,0.0,0
38,78.53,3.74,2,1.0,5.85,0
28,67.48,2.63,1,3.22,5.48,0
54,232.15,0.89,0,7.83,7.74,0
43,130.12,6.87,2,13.06,2.76,0
57,119.72,8.59,3,10.5,3.14,0
45,140.94,3.44,4,6.6,0.0,0
48,88.59,1.31,3,19.64,0.0,0
61,145.06,7.65,4,16.16,0.0,0
28,300.68,4.24,4,17.39,9.54,1
33,62.92,2.2,1,4.95,4.21,0
59,104.04,8.34,2,4.58,2.47,0
22,164.32,4.98,5,8.99,2.16,1
29,54.41,7.22,4,24.45,0.0,0
57,168.38,5.02,3,10.61,3.66,0
61,253.64,8.72,3,8.75,7.74,0
53,96.71,4.85,3,1.31,0.0,1
47,1133.94,5.94,2,12.64,7.84,1
59,283.49,4.41,3,7.75,10.3,1
42,109.4,11.95,3,7.51,3.82,0
24,216.63,5.8,4,19.32,6.34,1
45,135.01,4.01,2,1.0,4.37,0
22,76.46,7.06,1,4.68,10.74,1
20,54.87,0.0,0,12.81,6.32,0
29,120.75,4.97,0,1.0,2.73,1
52,141.39,7.82,4,19.84,8.88,1
32,89.11,7.26,2,17.78,2.07,0
40,319.65,7.88,5,21.65,2.78,0
35,99.91,10.87,5,25.85,0.0,0
30,165.03,0.84,5,12.4,0.03,1
45,39.66,7.86,2,9.22,4.21,1
43,100.44,15.0,7,11.98,0.0,1
47,110.44,4.58,1,8.13,3.3,0
57,89.64,2.02,3,19.9,4.6,1
28,107.93,6.6,4,7.06,3.05,0
55,317.03,13.73,1,9.02,0.0,0
59,315.88,0.0,3,1.57,8.0,1
32,462.83,8.68,6,28.94,3.62,1
48,163.24,0.0,4,26.11,5.21,0
31,71.12,2.55,4,19.28,5.03,0
53,815.86,4.57,4,11.05,0.0,1
61,160.83,0.16,7,3.83,0.0,1
37,49.55,6.84,2,1.06,5.12,0
36,194.71,0.0,3,17.84,11.86,1
19,37.18,0.58,4,4.02,5.84,1
55,815.55,8.58,3,7.5,10.74,1
32,151.33,11.11,1,8.89,0.0,1
37,76.87,8.74,3,16.49,7.28,1
61,218.53,6.83,1,22.6,7.9,0
34,238.87,5.51,4,13.0,0.0,1
25,82.0,7.15,4,6.6,8.12,0
24,109.24,5.34,2,14.94,7.32,0
24,167.06,6.13,1,14.0,0.0,1
62,377.61,8.58,4,10.99,6.21,1
20,161.79,9.77,4,1.0,11.14,0
18,97.68,0.0,1,7.24,4.08,1
55,137.25,0.51,3,13.36,0.0,0
36,282.44,0.0,2,16.56,0.37,0
49,291.07,9.33,4,7.69,6.08,1
30,182.02,5.07,0,7.22,2.43,0
51,529.34,3.22,3,5.8,2.83,1
46,127.43,3.41,2,5.13,0.0,1
43,126.45,3.88,1,8.57,9.73,0
31,198.39,8.14,2,6.44,4.26,0
47,108.94,3.89,7,8.0,11.62,1
44,433.18,12.42,3,9.28,1.97,0
50,79.12,11.15,3,8.24,2.49,0
60,222.19,7.66,3,19.72,2.53,0
51,80.79,2.74,4,27.37,5.41,0
37,251.91,5.27,2,10.26,0.9,0
29,169.66,6.78,3,1.89,5.34,0
34,256.57,7.58,10,3.33,6.37,1
24,104.38,6.81,2,11.83,2.58,1
54,1187.73,6.44,7,14.23,9.16,1
19,120.35,6.81,4,13.57,3.71,0
33,54.2,9.52,1,4.39,8.54,0
19,139.44,4.04,4,19.42,5.41,0
47,294.02,3.13,1,8.47,0.0,0
18,182.06,6.2,5,31.66,9.45,1
45,48.61,3.27,3,1.18,8.95,0
56,237.45,2.9,1,1.74,4.71,0
22,109.96,4.42,3,1.0,14.0,1
23,188.43,3.69,3,1.0,2.93,0
22,183.98,6.06,2,3.57,6.67,1
56,440.75,6.32,4,16.18,10.69,1
53,219.46,5.49,2,11.89,10.56,1
36,69.17,5.95,1,7.42,3.02,1
43,370.34,5.64,4,1.0,1.85,1
30,265.65,5.55,6,6.19,1.85,1
28,122.82,3.69,1,22.53,4.24,0
26,215.17,3.09,3,8.57,1.1,0
38,231.24,1.85,5,12.93,1.51,1
42,176.75,3.54,3,1.0,0.0,0
52,87.33,6.07,2,1.28,0.57,1
57,229.89,4.41,2,9.03,1.78,0
65,106.7,4.11,5,24.78,5.68,0
56,374.88,3.43,1,1.0,0.4,0
55,151.49,3.76,2,3.28,0.31,0
31,751.43,4.69,3,20.1,0.03,0
20,167.24,3.34,6,10.32,0.0,1
18,321.82,0.0,3,9.74,5.99,1
53,101.67,0.67,4,9.84,2.13,1
22,144.63,0.99,4,11.96,0.08,0
45,418.22,8.72,3,3.19,8.6,1
47,87.48,9.66,5,21.99,4.09,0
28,105.25,3.47,3,12.94,2.9,0
40,138.04,0.0,2,10.92,5.12,1
56,139.42,4.67,1,8.28,7.59,1
59,387.7,0.97,3,1.0,0.92,1
49,213.39,0.0,1,6.79,8.72,1
44,101.33,0.0,1,2.77,11.58,0
26,114.57,7.48,0,7.98,4.46,0
41,220.65,3.5,2,7.86,9.55,1
47,258.15,5.04,7,12.59,11.37,1
35,56.72,11.49,2,18.94,5.39,0
55,63.96,0.0,1,10.25,6.68,0
18,103.8,2.63,4,7.61,0.95,1
47,186.2,6.8,3,23.51,2.1,0
44,108.35,7.29,5,18.5,7.69,1
52,47.18,7.96,2,14.3,6.55,0
51,139.8,0.0,1,15.31,4.07,0
50,85.65,11.84,3,5.31,9.0,0
35,164.91,0.0,2,9.83,4.46,1
59,124.95,5.46,1,4.97,6.03,0
27,103.07,6.06,1,8.1,9.98,1
26,140.77,15.8,4,3.07,11.79,1
40,107.55,4.02,1,20.49,6.54,0
39,172.97,8.85,2,6.47,9.12,0
57,161.41,8.59,0,20.56,5.57,0
39,341.27,4.66,5,9.14,13.89,1
25,131.31,5.82,2,5.87,8.61,1
23,114.64,3.06,1,1.0,3.81,1
56,134.48,6.73,5,2.88,3.65,0
24,48.25,4.15,1,22.03,0.0,0
60,80.22,2.53,3,15.88,7.49,1
27,805.49,7.52,1,6.42,0.0,1
62,110.46,3.44,4,11.12,1.95,1
28,354.98,0.0,1,23.24,2.23,0
34,132.26,0.0,0,10.15,6.32,1
38,256.94,1.93,2,4.11,0.0,0
25,133.54,12.24,8,9.75,3.56,1
38,417.24,8.24,4,11.97,5.13,0
31,195.61,1.09,1,15.34,2.88,1
18,123.65,3.26,4,7.45,4.5,1
55,78.95,8.84,6,14.48,4.13,0
56,89.36,3.22,3,13.11,11.54,1
46,31.23,10.77,2,1.0,4.52,0
22,224.98,11.03,1,7.92,6.52,1
63,129.01,0.0,4,8.95,6.36,1
44,51.49,6.45,4,5.33,3.34,0
51,161.81,3.32,5,11.91,6.31,0
46,93.52,6.06,1,6.91,16.14,1
61,146.2,0.57,1,13.38,5.09,0
41,48.06,8.27,5,8.92,9.2,0
50,77.78,1.82,3,7.36,0.0,1
19,181.57,7.25,3,8.61,6.35,0
58,71.73,7.63,2,7.14,5.41,0
